,game_id,team,week,total_yards,total_tds,passing_tds,rushing_tds,num_plays,avg_epa,success_rate,total_rush_yards,rush_attempts,longest_rush,rushes_for_loss,total_pass_yards,pass_attempts,complete_passes,incomplete_passes,sacks,longest_pass,total_penalty_yards,fumbles_lost,interceptions,third_down_converted,fourth_down_converted,wp,home_wp,away_wp
214,2024_08_ARI_MIA,ARI,8,390.0,3.0,2.0,1.0,62,0.27863854,0.532258064516129,83.0,26.0,17.0,2,307.0,36.0,26.0,10.0,0.0,37.0,5.0,0.0,0.0,7.0,0.0,0.31682274,0.6831773,0.31682274
215,2024_08_ARI_MIA,MIA,8,377.0,3.0,1.0,2.0,64,0.19287461,0.5,150.0,25.0,47.0,3,234.0,39.0,28.0,10.0,1.0,30.0,0.0,0.0,0.0,11.0,0.0,0.7213873,0.7213873,0.2786127
216,2024_08_ATL_TB,ATL,8,394.0,4.0,4.0,0.0,60,0.2599835,0.5333333333333333,129.0,29.0,17.0,2,276.0,31.0,23.0,6.0,2.0,49.0,25.0,0.0,0.0,6.0,2.0,0.690517,0.30948302,0.690517
217,2024_08_ATL_TB,TB,8,433.0,3.0,3.0,0.0,70,0.08780196,0.5142857142857142,103.0,21.0,17.0,1,330.0,49.0,37.0,10.0,0.0,29.0,8.0,1.0,2.0,9.0,1.0,0.31689152,0.31689152,0.68310845
218,2024_08_BAL_CLE,BAL,8,387.0,3.0,2.0,1.0,60,0.097184785,0.5,124.0,21.0,39.0,3,289.0,39.0,23.0,13.0,3.0,29.0,0.0,0.0,0.0,2.0,0.0,0.38713214,0.6128679,0.38713214
219,2024_08_BAL_CLE,CLE,8,401.0,3.0,3.0,0.0,67,0.13171001,0.47761194029850745,80.0,23.0,15.0,5,334.0,44.0,27.0,14.0,2.0,38.0,0.0,1.0,0.0,8.0,0.0,0.63302547,0.63302547,0.3669745
220,2024_08_BUF_SEA,BUF,8,448.0,4.0,2.0,2.0,66,0.31383556,0.5454545454545454,167.0,31.0,18.0,0,283.0,35.0,24.0,9.0,1.0,35.0,0.0,0.0,1.0,8.0,1.0,0.7860293,0.21397072,0.7860293
221,2024_08_BUF_SEA,SEA,8,234.0,1.0,0.0,1.0,46,-0.21150005,0.45652173913043476,33.0,16.0,13.0,3,212.0,30.0,21.0,7.0,1.0,20.0,10.0,0.0,1.0,1.0,0.0,0.2125215,0.2125215,0.7874785
222,2024_08_CAR_DEN,CAR,8,284.0,2.0,2.0,0.0,60,-0.14565723,0.4,69.0,20.0,15.0,3,224.0,40.0,24.0,12.0,2.0,29.0,40.0,0.0,2.0,5.0,1.0,0.20842294,0.7915771,0.20842294
223,2024_08_CAR_DEN,DEN,8,402.0,4.0,3.0,1.0,71,0.03536975,0.43661971830985913,104.0,30.0,10.0,2,315.0,41.0,30.0,9.0,2.0,37.0,0.0,2.0,0.0,11.0,1.0,0.7617437,0.7617437,0.23825625
