player_id,player_abbr,player_name,position,headshot_url,recent_team,season,week,season_type,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,4,REG,LAC,7,9,89.0,0,0.0,0.0,82.0,36.0,2.0,-1.1362101,0,1.0853659,0.32142857,0.43617022,0.787462,0.0,8.9,15.9
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,5,REG,NO,9,10,70.0,0,0.0,0.0,52.0,34.0,4.0,5.1519523,0,1.3461539,0.29411766,0.3489933,0.6854718,0.0,7.0,16.0
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,7,REG,SF,4,5,17.0,0,0.0,0.0,38.0,12.0,2.0,0.41625667,0,0.4473684,0.2,0.17592593,0.42314816,0.0,1.7,5.7
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,8,REG,LV,10,12,90.0,1,1.0,0.0,78.0,32.0,6.0,2.6803281,0,1.1538461,0.34285715,0.31325302,0.7335628,0.0,15.0,25.0
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,9,REG,TB,14,16,100.0,0,1.0,1.0,83.0,35.0,6.0,1.9625471,0,1.2048193,0.3809524,0.30402932,0.78424907,0.0,8.0,22.0
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,10,REG,DEN,8,12,64.0,1,0.0,0.0,82.0,21.0,5.0,5.1688786,0,0.7804878,0.3,0.44808742,0.7636612,0.0,12.4,20.4
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,11,REG,BUF,2,4,8.0,0,0.0,0.0,43.0,6.0,0.0,-1.4386574,0,0.18604651,0.12903225,0.19815668,0.33225808,0.0,0.8,2.8
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,12,REG,CAR,6,8,62.0,0,0.0,0.0,51.0,35.0,2.0,1.9520735,0,1.2156863,0.22222222,0.23287672,0.49634704,0.0,6.2,12.2
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,13,REG,LV,7,13,68.0,0,0.0,0.0,79.0,28.0,4.0,3.0015202,0,0.8607595,0.2888889,0.2051948,0.5769697,0.0,6.8,13.8
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,14,REG,LAC,5,6,45.0,0,0.0,0.0,48.0,14.0,3.0,2.6956367,0,0.9375,0.16666667,0.18461539,0.37923077,0.0,4.5,9.5
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,15,REG,CLE,4,8,27.0,0,0.0,0.0,90.0,11.0,2.0,-0.2766274,0,0.3,0.21052632,0.2631579,0.5,0.0,2.7,6.7
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,16,REG,HOU,5,7,30.0,0,0.0,0.0,33.0,3.0,2.0,0.06368801,0,0.90909094,0.17073171,0.1416309,0.35523918,0.0,3.0,8.0
00-0030506,T.Kelce,Travis Kelce,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilk4qbxxs6mt3v9zfvtg",KC,2024,17,REG,PIT,8,11,84.0,1,0.0,0.0,51.0,53.0,4.0,4.224821,0,1.6470588,0.28947368,0.2361111,0.5994883,0.0,14.4,22.4
