season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,headshot_url,week,game_type
2024,ATL,DB,CB,20.0,ACT,Dee Alford,DeAundre,Alford,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bjrsavpaai588usbthmo",18,REG
2024,CLE,OL,T,61.0,DEV,Roy Mbaeteka,Roy,Mbaeteka,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kfh7fdl1vthjzntlwfyf",18,REG
2024,WAS,DL,DT,68.0,DEV,Haggai Ndubuisi,Haggai Chisom,Ndubuisi,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jalumajq4tyslz16v8j0",21,CON
2024,CAR,LB,OLB,38.0,RES,Amare Barno,Amare,Barno,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nsjj3aui2wuogyxgtvlm",18,REG
2024,NYG,DL,DE,90.0,ACT,Elijah Garcia,Elijah,Garcia,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xi7jwqwmdc8mpkpv6vtu",18,REG
2024,PIT,WR,WR,82.0,CUT,Lance McCutcheon,Lance,McCutcheon,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyjfdwn3mpvnpcszz4nv",11,REG
2024,LA,LB,OLB,96.0,ACT,Keir Thomas,Keir,Thomas,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mozvklor2kfypeg179xu",20,DIV
2024,JAX,DL,DE,47.0,RES,De'Shaan Dixon,De'Shaan,Dixon,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ynwxctfkmaia3ckr3rwu",18,REG
2024,JAX,QB,QB,6.0,CUT,E.J. Perry,Ernest,Perry,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yfyq8swc5hv8odqlvl6n",1,REG
2024,ATL,DB,SS,41.0,CUT,Josh Thompson,Josh,Thompson,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ihxwxnr2ttw5opvmmumb",1,REG
2024,PHI,DL,DT,90.0,ACT,Jordan Davis,Jordan,Davis,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cp2lelzm9tnsioxflql7",22,SB
2024,GB,LB,ILB,7.0,ACT,Quay Walker,Quay,Walker,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dkqnq4ccxwrr7u34aqrz",19,WC
2024,GB,DL,DT,95.0,ACT,Devonte Wyatt,Devonte,Wyatt,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvuryytohkrxi6tdaytn",19,WC
2024,GB,OL,G,75.0,ACT,Sean Rhyan,Sean,Rhyan,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sfqsap6pmdq9mutx2dxk",19,WC
